,0
0,109.26459
1,41.95729
2,28.522072
3,32.557846
4,24.232115
5,17.647655
6,27.733599
7,18.706013
8,32.052353
9,35.292034
10,33.342182
11,29.56745
12,15.104303
13,25.963089
14,61.212173
15,21.174118
16,40.106388
17,21.68125
18,21.698668
19,28.228432
20,23.486813
21,16.085295
22,33.774136
23,15.683925
24,38.69585
25,27.755941
26,19.890966
27,37.323868
28,24.100393
29,48.535816
30,27.669441
31,96.112206
32,18.048727
33,45.36068
34,21.060202
35,54.717438
36,16.888653
37,42.632877
38,12.73695
39,25.67452
40,25.915802
41,74.0721
42,45.490326
43,65.17289
44,16.607685
45,23.591526
46,25.407793
47,22.244986
48,19.383837
49,62.51436
50,22.412569
51,24.954678
52,31.481138
53,18.801603
54,29.424057
55,28.007694
56,291.24707
57,20.297594
58,31.543707
59,17.145649
60,58.022106
61,29.24918
62,17.541176
63,59.81597
64,45.786892
65,39.719223
66,22.084677
67,34.273327
68,16.141966
69,115.559654
70,15.42791
71,17.323187
72,22.338404
73,13.898196
74,31.09323
75,53.739822
76,27.805561
77,16.372978
78,28.765558
79,25.142202
80,21.793407
81,20.898945
82,14.381634
83,38.955647
84,30.35197
85,21.477654
86,44.99824
87,25.011068
88,19.683348
89,24.941345
90,17.505043
91,37.935986
92,25.811266
93,26.179398
94,19.317238
95,35.808273
96,19.331566
97,28.440226
98,16.005207
99,32.97821
100,21.177454
101,59.02964
102,27.964117
103,52.704185
104,19.862286
105,18.931581
106,23.916842
107,35.52925
108,21.56381
109,33.080624
110,25.209976
111,24.223923
112,28.490356
113,40.429993
114,22.804598
115,42.473774
116,22.2706
117,38.01759
118,14.696923
119,16.888653
120,36.755405
121,75.198524
122,18.98098
123,42.84011
124,72.13852
125,36.002277
126,19.46805
127,21.827358
128,23.934088
129,23.034813
130,20.220024
131,17.584743
132,27.689196
133,17.747221
134,32.07398
135,23.171244
136,23.983803
137,56.664154
138,22.6029
139,48.394737
140,103.37495
141,17.891344
142,59.69741
143,24.253635
144,43.330345
145,20.216333
146,20.15175
147,21.115713
148,19.811789
149,24.207815
150,26.030426
151,38.064266
152,20.87471
153,21.328396
154,27.062342
155,35.967712
156,33.277946
157,40.481888
158,26.094229
159,21.86956
160,36.891537
161,23.19374
162,31.479193
163,42.533134
164,21.250418
165,98.88477
166,34.225655
167,34.268314
168,37.29172
169,17.433155
170,20.303465
171,43.637024
172,35.862717
173,47.405018
174,24.0869
175,18.801603
176,32.06405
177,44.136845
178,13.593958
179,43.1803
180,17.920456
181,14.530602
182,40.513046
183,30.16559
184,28.83293
185,44.839073
186,46.088993
187,34.394512
188,12.97279
189,16.00377
190,29.975761
191,25.16309
192,38.44516
193,32.88242
194,26.534563
195,29.559412
196,53.416054
197,34.5123
198,22.069338
199,30.026123
200,76.901924
201,12.945207
202,16.743904
203,23.170702
204,48.352356
205,20.454664
206,42.76399
207,11.822926
208,12.950783
209,24.50224
210,27.290747
211,23.724283
212,20.904821
213,25.547323
214,18.828566
215,61.166286
216,25.197493
217,26.039448
218,20.86561
219,23.926743
220,77.40903
221,24.740215
222,37.09135
223,18.816635
224,32.593143
225,27.179985
226,29.313839
227,23.096275
228,15.438321
229,20.204466
230,23.502617
231,106.18022
232,18.782843
233,28.976215
234,37.249653
235,12.087689
236,35.639393
237,30.15256
238,16.88211
239,30.50009
240,23.117947
241,18.494514
